customer_id,tenure_months,monthly_charge,support_tickets,contract_type,age,days_since_last_cancellation_request,churned
C00000,7,57.48,2,two-year,70,-1,0
C00001,55,55.84,0,one-year,37,-1,0
C00002,47,80.38,3,month-to-month,68,26,1
C00003,32,81.38,0,two-year,25,21,1
C00004,31,54.3,2,one-year,26,8,1
C00005,61,56.94,1,two-year,18,-1,0
C00006,7,75.82,0,two-year,25,7,1
C00007,50,48.45,1,month-to-month,55,-1,0
C00008,15,56.79,2,one-year,23,15,1
C00009,7,66.79,1,month-to-month,55,26,1
C00010,38,84.92,0,two-year,55,-1,0
C00011,70,52.91,3,two-year,32,-1,0
C00012,53,,3,two-year,20,-1,0
C00013,55,26.67,1,one-year,28,28,1
C00014,51,39.81,2,one-year,26,-1,0
C00015,56,,3,month-to-month,50,8,1
C00016,37,61.91,2,month-to-month,75,-1,0
C00017,10,41.22,1,month-to-month,44,7,1
C00018,60,50.94,6,two-year,57,2,1
C00019,32,49.52,0,one-year,36,-1,0
C00020,36,56.19,3,one-year,23,-1,0
C00021,27,91.45,1,month-to-month,31,17,1
C00022,13,78.24,1,one-year,47,21,1
C00023,66,65.32,1,month-to-month,71,-1,0
C00024,56,55.78,1,two-year,33,-1,0
C00025,46,56.34,1,two-year,78,11,1
C00026,29,71.55,1,month-to-month,57,6,1
C00027,59,76.68,2,two-year,40,-1,0
C00028,39,46.85,1,month-to-month,56,-1,0
C00029,32,65.73,0,month-to-month,61,-1,0
C00030,32,24.37,1,one-year,60,16,1
C00031,17,69.23,3,one-year,71,11,1
C00032,7,80.24,1,month-to-month,59,12,1
C00033,40,59.4,0,month-to-month,19,-1,0
C00034,64,101.33,3,month-to-month,41,-1,0
C00035,5,47.38,0,month-to-month,74,-1,0
C00036,61,69.35,1,month-to-month,30,0,1
C00037,59,64.28,2,month-to-month,48,-1,0
C00038,20,62.99,0,two-year,49,-1,0
C00039,45,62.71,1,month-to-month,52,-1,0
C00040,12,67.14,0,month-to-month,71,-1,0
C00041,54,81.96,2,month-to-month,51,-1,0
C00042,50,92.55,1,month-to-month,18,-1,0
C00043,26,64.95,2,one-year,33,-1,0
C00044,5,81.31,0,month-to-month,57,-1,0
C00045,69,50.96,2,month-to-month,66,-1,0
C00046,32,80.32,4,two-year,58,9,1
C00047,64,49.76,1,one-year,63,-1,0
C00048,49,86.81,2,month-to-month,32,-1,0
C00049,56,109.21,4,month-to-month,23,10,1
C00050,54,62.56,0,two-year,76,-1,0
C00051,14,21.15,1,one-year,52,27,1
C00052,26,54.04,2,two-year,63,-1,0
C00053,34,89.64,1,month-to-month,77,-1,0
C00054,36,76.06,0,one-year,29,-1,0
C00055,4,69.98,3,month-to-month,72,2,1
C00056,39,85.17,0,month-to-month,40,-1,0
C00057,11,74.69,0,one-year,56,-1,0
C00058,53,89.35,0,one-year,41,-1,0
C00059,49,83.39,3,month-to-month,30,-1,0
C00060,66,95.43,1,month-to-month,72,-1,0
C00061,53,72.18,2,one-year,39,-1,0
C00062,27,83.11,1,month-to-month,19,2,1
C00063,69,58.86,3,month-to-month,27,18,1
C00064,30,52.97,1,month-to-month,77,-1,0
C00065,24,99.14,2,month-to-month,68,-1,0
C00066,65,69.32,2,two-year,59,21,1
C00067,27,81.1,1,month-to-month,66,-1,0
C00068,6,67.47,1,month-to-month,58,-1,0
C00069,34,53.27,0,one-year,74,-1,0
C00070,57,65.22,2,month-to-month,24,-1,0
C00071,14,93.72,0,one-year,21,-1,0
C00072,33,76.1,2,month-to-month,61,28,1
C00073,10,30.77,1,two-year,77,-1,0
C00074,49,60.7,0,one-year,54,-1,0
C00075,34,100.65,2,one-year,77,-1,0
C00076,24,60.72,1,month-to-month,42,-1,0
C00077,17,28.99,3,two-year,59,25,1
C00078,41,102.86,2,one-year,49,-1,0
C00079,48,78.65,2,month-to-month,72,-1,0
C00080,67,63.6,1,month-to-month,58,-1,0
C00081,32,,1,month-to-month,45,-1,0
C00082,12,86.65,2,month-to-month,33,-1,0
C00083,60,54.16,2,month-to-month,37,7,1
C00084,45,87.97,1,two-year,22,-1,0
C00085,50,75.84,2,two-year,27,-1,0
C00086,7,69.89,1,month-to-month,49,-1,0
C00087,23,67.91,1,two-year,19,-1,0
C00088,55,61.5,1,one-year,47,-1,0
C00089,60,85.91,1,month-to-month,20,-1,0
C00090,31,47.69,3,two-year,28,-1,0
C00091,58,32.56,1,one-year,60,-1,0
C00092,60,77.29,1,one-year,19,-1,0
C00093,28,77.62,1,month-to-month,38,25,1
C00094,64,74.6,2,month-to-month,29,-1,0
C00095,21,73.15,0,two-year,21,5,1
C00096,18,58.59,2,month-to-month,30,-1,0
C00097,49,80.75,0,month-to-month,24,-1,0
C00098,46,64.09,0,month-to-month,22,-1,0
C00099,10,55.26,2,month-to-month,59,11,1
C00100,60,58.76,0,month-to-month,25,-1,0
C00101,15,105.41,1,two-year,76,2,1
C00102,58,30.3,1,month-to-month,48,-1,0
C00103,1,,4,two-year,43,10,1
C00104,57,31.42,0,one-year,72,-1,0
C00105,56,,2,month-to-month,66,-1,0
C00106,56,56.33,1,month-to-month,44,-1,0
C00107,48,23.3,0,month-to-month,78,-1,0
C00108,34,72.78,4,two-year,50,2,1
C00109,51,57.4,0,one-year,61,24,1
C00110,20,23.02,2,month-to-month,78,15,1
C00111,56,81.79,0,two-year,62,28,1
C00112,40,93.7,2,two-year,54,-1,0
C00113,33,94.8,4,month-to-month,56,-1,0
C00114,36,72.18,3,one-year,58,-1,0
C00115,41,65.92,1,one-year,78,-1,0
C00116,3,91.56,5,two-year,61,-1,0
C00117,10,98.65,3,month-to-month,36,-1,0
C00118,18,87.67,3,month-to-month,19,-1,0
C00119,9,46.17,0,month-to-month,66,20,1
C00120,32,69.03,1,month-to-month,48,15,1
C00121,48,73.79,1,month-to-month,43,-1,0
C00122,47,28.81,1,one-year,75,-1,0
C00123,34,74.39,0,month-to-month,27,17,1
C00124,61,110.46,1,month-to-month,20,-1,0
C00125,41,77.8,0,one-year,63,-1,0
C00126,6,94.47,1,month-to-month,75,0,1
C00127,55,68.66,1,month-to-month,69,23,1
C00128,41,63.54,2,one-year,72,23,1
C00129,46,72.63,1,two-year,71,-1,0
C00130,41,48.68,2,month-to-month,60,8,1
C00131,40,,4,two-year,75,-1,0
C00132,7,90.33,2,two-year,39,-1,0
C00133,40,92.45,1,one-year,64,-1,0
C00134,57,45.18,1,two-year,23,-1,0
C00135,22,84.36,1,month-to-month,50,18,1
C00136,43,63.26,1,month-to-month,36,0,1
C00137,3,71.8,3,two-year,76,1,1
C00138,25,74.2,0,month-to-month,45,1,1
C00139,32,84.89,1,month-to-month,30,-1,0
C00140,70,66.65,1,month-to-month,53,-1,0
C00141,16,93.2,6,month-to-month,22,-1,0
C00142,20,71.19,4,month-to-month,25,19,1
C00143,30,77.48,6,month-to-month,44,-1,0
C00144,71,48.33,1,two-year,57,-1,0
C00145,61,108.17,1,month-to-month,54,-1,0
C00146,3,74.4,1,two-year,21,27,1
C00147,17,79.26,3,month-to-month,60,-1,0
C00148,59,32.84,0,month-to-month,21,-1,0
C00149,5,48.55,4,two-year,68,-1,0
C00150,61,89.76,4,month-to-month,20,-1,0
C00151,20,70.74,0,month-to-month,19,-1,0
C00152,66,26.72,1,two-year,50,-1,0
C00153,21,,2,month-to-month,67,-1,0
C00154,31,54.12,0,month-to-month,65,29,1
C00155,47,93.23,2,two-year,55,3,1
C00156,9,63.24,1,month-to-month,29,-1,0
C00157,40,69.09,3,one-year,77,-1,0
C00158,36,88.58,1,month-to-month,19,-1,0
C00159,56,47.05,1,month-to-month,39,-1,0
C00160,71,45.14,0,month-to-month,64,-1,0
C00161,48,61.07,2,one-year,56,-1,0
C00162,30,81.54,0,month-to-month,67,10,1
C00163,29,38.38,1,two-year,65,-1,0
C00164,30,31.64,2,one-year,76,22,1
C00165,58,81.47,1,one-year,50,-1,0
C00166,23,52.94,4,month-to-month,68,-1,0
C00167,12,57.16,5,one-year,27,-1,0
C00168,24,27.86,1,one-year,28,-1,0
C00169,2,51.42,2,month-to-month,21,16,1
C00170,8,64.85,3,two-year,30,14,1
C00171,7,83.61,0,month-to-month,24,-1,0
C00172,55,49.58,1,two-year,69,-1,0
C00173,52,98.15,2,two-year,48,-1,0
C00174,50,51.31,1,month-to-month,45,-1,0
C00175,33,51.34,2,month-to-month,57,-1,0
C00176,51,95.75,3,month-to-month,40,-1,0
C00177,12,69.23,1,month-to-month,53,-1,0
C00178,64,53.96,1,two-year,18,-1,0
C00179,36,61.9,2,month-to-month,62,-1,0
C00180,67,92.06,1,one-year,72,-1,0
C00181,11,94.32,1,two-year,20,-1,0
C00182,36,48.66,2,two-year,22,-1,0
C00183,50,64.15,1,month-to-month,26,-1,0
C00184,36,66.8,2,two-year,55,-1,0
C00185,32,45.28,0,month-to-month,65,-1,0
C00186,12,63.89,0,month-to-month,69,-1,0
C00187,28,65.11,3,month-to-month,66,27,1
C00188,17,87.8,1,one-year,53,-1,0
C00189,22,89.15,2,month-to-month,61,21,1
C00190,49,58.42,2,month-to-month,35,17,1
C00191,45,60.72,0,month-to-month,64,-1,0
C00192,44,78.29,2,two-year,29,-1,0
C00193,26,53.3,2,one-year,77,22,1
C00194,69,76.77,2,one-year,20,-1,0
C00195,7,63.24,2,one-year,76,7,1
C00196,25,45.61,2,month-to-month,46,-1,0
C00197,9,45.86,4,month-to-month,57,12,1
C00198,25,93.94,2,month-to-month,27,-1,0
C00199,69,61.87,2,month-to-month,37,-1,0
C00200,27,97.81,1,two-year,71,15,1
C00201,65,54.73,1,month-to-month,18,-1,0
C00202,36,70.82,1,one-year,29,21,1
C00203,50,112.85,0,two-year,57,11,1
C00204,33,,1,two-year,67,-1,0
C00205,19,27.04,2,month-to-month,44,-1,0
C00206,55,90.73,4,two-year,23,-1,0
C00207,69,48.46,1,one-year,27,-1,0
C00208,19,64.59,1,month-to-month,73,28,1
C00209,56,53.28,1,one-year,31,-1,0
C00210,19,70.36,2,month-to-month,53,9,1
C00211,51,45.99,1,two-year,76,-1,0
C00212,57,61.4,3,one-year,41,-1,0
C00213,32,74.0,1,one-year,22,-1,0
C00214,53,44.83,3,two-year,68,-1,0
C00215,20,51.0,1,one-year,66,-1,0
C00216,6,,2,month-to-month,58,-1,0
C00217,7,36.42,2,month-to-month,73,8,1
C00218,32,56.55,2,two-year,66,-1,0
C00219,65,67.38,2,one-year,60,-1,0
C00220,10,57.01,4,two-year,38,22,1
C00221,33,59.57,1,month-to-month,21,14,1
C00222,50,64.6,0,month-to-month,63,-1,0
C00223,15,51.89,2,two-year,70,-1,0
